Freq.	V(n002)
1.00000000000000e+01	9.99960523140879e-01,-6.28293726675839e-03
1.12201845430196e+01	9.99950302086866e-01,-7.04949950362817e-03
1.25892541179417e+01	9.99937434839334e-01,-7.90956675594210e-03
1.41253754462275e+01	9.99921236405292e-01,-8.87453610078922e-03
1.58489319246111e+01	9.99900844531264e-01,-9.95719021255092e-03
1.77827941003892e+01	9.99875173865460e-01,-1.11718643464777e-02
1.99526231496888e+01	9.99842858286095e-01,-1.25346328381214e-02
2.23872113856834e+01	9.99802178352076e-01,-1.40635171461253e-02
2.51188643150958e+01	9.99750970056001e-01,-1.57787175678371e-02
2.81838293126445e+01	9.99686510089089e-01,-1.77028708120212e-02
3.16227766016838e+01	9.99605371616997e-01,-1.98613355905859e-02
3.54813389233575e+01	9.99503243058708e-01,-2.22825082482574e-02
3.98107170553497e+01	9.99374700491018e-01,-2.49981701231551e-02
4.46683592150963e+01	9.99212921990759e-01,-2.80438677333937e-02
5.01187233627272e+01	9.99009329386323e-01,-3.14593258893549e-02
5.62341325190348e+01	9.98753139421677e-01,-3.52888922611796e-02
6.30957344480192e+01	9.98430802138924e-01,-3.95820095390354e-02
7.07945784384137e+01	9.98025299267740e-01,-4.43937077667362e-02
7.94328234724280e+01	9.97515269510666e-01,-4.97851042354003e-02
8.91250938133744e+01	9.96873920839384e-01,-5.58238908505763e-02
9.99999999999998e+01	9.96067682407173e-01,-6.25847782705716e-02
1.12201845430196e+02	9.95054540807711e-01,-7.01498512162812e-02
1.25892541179416e+02	9.93781997932933e-01,-7.86087687052841e-02
1.41253754462275e+02	9.92184582000358e-01,-8.80587147370043e-02
1.58489319246111e+02	9.90180841826309e-01,-9.86039669914496e-02
1.77827941003892e+02	9.87669761016954e-01,-1.10354901067722e-01
1.99526231496888e+02	9.84526549537567e-01,-1.23426183580388e-01
2.23872113856833e+02	9.80597814270700e-01,-1.37933828041657e-01
2.51188643150957e+02	9.75696190847139e-01,-1.53990694567960e-01
2.81838293126445e+02	9.69594654058710e-01,-1.71699915199397e-01
3.16227766016837e+02	9.62020935754163e-01,-1.91145637995869e-01
3.54813389233575e+02	9.52652791274688e-01,-2.12380438249932e-01
3.98107170553496e+02	9.41115286747817e-01,-2.35408801444192e-01
4.46683592150962e+02	9.26981827836805e-01,-2.60166328907377e-01
5.01187233627271e+02	9.09781266401955e-01,-2.86494875531849e-01
5.62341325190348e+02	8.89013968769238e-01,-3.14114839035673e-01
6.30957344480192e+02	8.64179940094449e-01,-3.42597389413293e-01
7.07945784384136e+02	8.34821549485284e-01,-3.71341527438386e-01
7.94328234724279e+02	8.00581558225437e-01,-3.99563170042946e-01
8.91250938133743e+02	7.61273576118186e-01,-4.26305193989487e-01
9.99999999999997e+02	7.16956800324899e-01,-4.50477243368388e-01
1.12201845430196e+03	6.68000962340772e-01,-4.70930649514952e-01
1.25892541179416e+03	6.15123139558603e-01,-4.86566195638549e-01
1.41253754462275e+03	5.59378600943746e-01,-4.96461661913549e-01
1.58489319246111e+03	5.02095491724173e-01,-4.99995608895152e-01
1.77827941003892e+03	4.44757320250425e-01,-4.96938875853043e-01
1.99526231496887e+03	3.88853270117724e-01,-4.87489901881543e-01
2.23872113856833e+03	3.35727305067099e-01,-4.72244091227706e-01
2.51188643150957e+03	2.86457458373511e-01,-4.52105720949978e-01
2.81838293126444e+03	2.41786384939316e-01,-4.28165539245387e-01
3.16227766016837e+03	2.02108322864379e-01,-4.01572594549637e-01
3.54813389233574e+03	1.67503112611947e-01,-3.73424450026048e-01
3.98107170553496e+03	1.37799743998985e-01,-3.44689678628182e-01
4.46683592150961e+03	1.12650925470722e-01,-3.16165612395327e-01
5.01187233627270e+03	9.16041989621084e-02,-2.88466409993640e-01
5.62341325190347e+03	7.41610248273603e-02,-2.62032759829598e-01
6.30957344480190e+03	5.98206297664340e-02,-2.37154215692619e-01
7.07945784384135e+03	4.81091217092391e-02,-2.13996808662197e-01
7.94328234724278e+03	3.85963323878872e-02,-1.92630878921555e-01
8.91250938133741e+03	3.09034737806793e-02,-1.73056202110662e-01
9.99999999999995e+03	2.47045230318579e-02,-1.55223096134648e-01
1.12201845430196e+04	1.97237168257212e-02,-1.39049242429795e-01
1.25892541179416e+04	1.57309193993930e-02,-1.24432542263842e-01
1.41253754462275e+04	1.25360727215367e-02,-1.11260593213667e-01
1.58489319246111e+04	9.98349712771304e-03,-9.94174376697267e-02
1.77827941003891e+04	7.94649036506458e-03,-8.87881954763274e-02
1.99526231496887e+04	6.32245488631576e-03,-7.92621060187418e-02
2.23872113856833e+04	5.02864342775221e-03,-7.07344058646762e-02
2.51188643150957e+04	3.99852893545873e-03,-6.31073743853365e-02
2.81838293126444e+04	3.17875859260751e-03,-5.62907993051923e-02
3.16227766016836e+04	2.52662956360821e-03,-5.02020488292710e-02
3.54813389233573e+04	2.00801667970680e-03,-4.47658859928050e-02
3.98107170553495e+04	1.59568334948119e-03,-3.99141221139758e-02
4.46683592150960e+04	1.26791245057007e-03,-3.55851773718744e-02
5.01187233627269e+04	1.00740136251956e-03,-3.17235953986044e-02
5.62341325190346e+04	8.00373178482602e-04,-2.82795435121886e-02
6.30957344480189e+04	6.35863686154178e-04,-2.52083193316573e-02
7.07945784384133e+04	5.05150542535393e-04,-2.24698768457855e-02
7.94328234724276e+04	4.01297031559036e-04,-2.00283796711441e-02
8.91250938133740e+04	3.18787873985036e-04,-1.78517855766989e-02
1.00000000000000e+05	2.53238812965160e-04,-1.59114638883029e-02
