time	V(n002)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	0.000000e+00
1.000028478237531e-03	4.564215e-05
1.000040362753246e-03	8.997597e-05
1.000064131784677e-03	2.283683e-04
1.000100000000000e-03	5.012981e-04
1.003237206430319e-03	3.126400e-02
1.006374412860637e-03	6.115311e-02
1.009511619290955e-03	9.016863e-02
1.012648825721274e-03	1.183105e-01
1.015786032151592e-03	1.455789e-01
1.018923238581910e-03	1.719736e-01
1.022060445012229e-03	1.974947e-01
1.027919820012229e-03	2.431669e-01
1.035732320012229e-03	2.993310e-01
1.043544820012229e-03	3.519556e-01
1.051357320012229e-03	4.010407e-01
1.059169820012229e-03	4.465863e-01
1.066982320012229e-03	4.885925e-01
1.074794820012229e-03	5.270591e-01
1.082607320012229e-03	5.619862e-01
1.091535891440800e-03	5.988031e-01
1.100464462869372e-03	6.330413e-01
1.109393034297943e-03	6.647009e-01
1.118321605726515e-03	6.937818e-01
1.127250177155086e-03	7.202841e-01
1.136178748583657e-03	7.442078e-01
1.145107320012229e-03	7.655528e-01
1.154035891440800e-03	7.852590e-01
1.162964462869372e-03	8.035851e-01
1.171893034297943e-03	8.205309e-01
1.180821605726515e-03	8.360965e-01
1.189750177155086e-03	8.502819e-01
1.198678748583657e-03	8.630870e-01
1.207607320012229e-03	8.745120e-01
1.216535891440800e-03	8.850597e-01
1.225464462869372e-03	8.948688e-01
1.234393034297943e-03	9.039390e-01
1.243321605726515e-03	9.122705e-01
1.252250177155086e-03	9.198632e-01
1.261178748583657e-03	9.267172e-01
1.270107320012229e-03	9.328324e-01
1.279035891440800e-03	9.384781e-01
1.287964462869372e-03	9.437284e-01
1.296893034297943e-03	9.485833e-01
1.305821605726515e-03	9.530427e-01
1.314750177155086e-03	9.571067e-01
1.323678748583658e-03	9.607753e-01
1.332607320012229e-03	9.640485e-01
1.341814909297943e-03	9.671577e-01
1.351022498583658e-03	9.700438e-01
1.360230087869372e-03	9.727069e-01
1.369437677155086e-03	9.751470e-01
1.378645266440800e-03	9.773641e-01
1.387852855726515e-03	9.793581e-01
1.397060445012229e-03	9.811292e-01
1.406268034297943e-03	9.827612e-01
1.415475623583658e-03	9.842761e-01
1.424683212869372e-03	9.856739e-01
1.433890802155086e-03	9.869547e-01
1.443098391440800e-03	9.881185e-01
1.452305980726515e-03	9.891651e-01
1.461513570012229e-03	9.900947e-01
1.470721159297943e-03	9.909514e-01
1.479928748583658e-03	9.917466e-01
1.489136337869372e-03	9.924803e-01
1.498343927155086e-03	9.931526e-01
1.507551516440800e-03	9.937634e-01
1.516759105726515e-03	9.943128e-01
1.525966695012229e-03	9.948007e-01
1.535453302155086e-03	9.952629e-01
1.544939909297943e-03	9.956912e-01
1.554426516440801e-03	9.960855e-01
1.563913123583658e-03	9.964460e-01
1.573399730726515e-03	9.967725e-01
1.582886337869372e-03	9.970651e-01
1.592372945012229e-03	9.973238e-01
1.602138570012229e-03	9.975681e-01
1.611904195012229e-03	9.977941e-01
1.621669820012229e-03	9.980017e-01
1.631435445012229e-03	9.981910e-01
1.641201070012229e-03	9.983620e-01
1.650966695012229e-03	9.985147e-01
1.660732320012229e-03	9.986491e-01
1.671055980726515e-03	9.987788e-01
1.681379641440801e-03	9.988984e-01
1.691703302155086e-03	9.990079e-01
1.702026962869372e-03	9.991072e-01
1.712350623583658e-03	9.991963e-01
1.722674284297944e-03	9.992753e-01
1.732997945012229e-03	9.993442e-01
1.744437677155087e-03	9.994133e-01
1.755877409297943e-03	9.994766e-01
1.767317141440801e-03	9.995341e-01
1.778756873583658e-03	9.995857e-01
1.790196605726515e-03	9.996315e-01
1.801636337869372e-03	9.996714e-01
1.813076070012229e-03	9.997056e-01
1.827026962869372e-03	9.997426e-01
1.840977855726515e-03	9.997760e-01
1.854928748583658e-03	9.998058e-01
1.868879641440801e-03	9.998321e-01
1.882830534297944e-03	9.998547e-01
1.896781427155087e-03	9.998737e-01
1.910732320012229e-03	9.998891e-01
1.938076070012229e-03	9.999157e-01
1.946446605726514e-03	9.999223e-01
1.954817141440799e-03	9.999286e-01
1.963187677155085e-03	9.999343e-01
1.971558212869370e-03	9.999397e-01
1.979928748583655e-03	9.999446e-01
1.988299284297940e-03	9.999490e-01
1.996669820012225e-03	9.999530e-01
1.998622945012225e-03	9.999540e-01
2.000000000000000e-03	9.999546e-01
